#,Date Time,PM10,PM2_5,NO2,NO,NOx,CO,SO2,O3,Temp,Do_Am,TocDo_Gio,Luong_Mua,Huong_Gio,Pressure,Buc_Xa
1,25/11/2020 09:00,125.77,65.86,35.67,26.65,76.4,"3,042.50",2.56,1.24,24,75.1,0.2,0,130,"1,017.90",121.6
2,25/11/2020 08:00,118.95,58.44,25.68,15.4,49.22,"1,989.10",1.78,1.09,23.3,77.2,0.2,0,123,"1,017.50",21.8
3,25/11/2020 07:00,84.19,48.74,23.5,14.78,46.08,"1,651.00",1.16,1.66,22.9,78.3,0.2,0,116,"1,016.70",10.9
4,25/11/2020 06:00,90.36,49.91,21.03,15.71,45.02,"1,473.50",2.01,2.21,22.8,78.5,0.2,0,136,"1,016.10",4.4
5,25/11/2020 05:00,91.05,48.26,30.29,32.22,79.53,"2,324.90",2.39,0.98,23.1,77.4,0.2,0,139,"1,015.70",4.4
6,25/11/2020 04:00,86.27,45.27,31.8,26.8,72.76,"2,013.30",1.42,0.9,23,76.9,0,0,258,"1,015.60",4
7,25/11/2020 03:00,89.76,43.95,30.6,24.18,67.54,"1,869.40",1.62,2.93,23.5,74.4,0.3,0,177,"1,015.80",4.4
8,25/11/2020 02:00,83.9,43.52,28.45,21.77,61.7,"1,548.20",2.58,3.96,23.7,73.3,0.2,0,142,"1,016.30",4.4
9,25/11/2020 01:00,87.86,48.64,30.17,23.75,66.45,"1,704.70",1.77,3.18,23.8,72,0.3,0,137,"1,016.60",4.5
10,25/11/2020 00:00,86.91,55.96,32.15,26.55,72.72,"2,454.80",0.47,2.55,23.8,72.2,0.3,0,156,"1,016.90",4.5
11,24/11/2020 23:00,85.58,51.2,33.79,31.2,81.46,"3,310.40",1.72,2.18,23.8,72.9,0.4,0,151,"1,016.90",4.5
12,24/11/2020 22:00,84.48,46.25,34.22,30.49,80.8,"3,072.60",1.76,2.54,23.5,73.8,0.5,0,136,"1,016.50",4
13,24/11/2020 21:00,80.81,49.17,34.06,32.49,83.7,"3,367.00",0.84,2.21,23.8,73.1,0.5,0,144,"1,016.30",3.9
14,24/11/2020 20:00,82.78,49.42,31.29,28.12,74.26,"3,585.20",1.28,3.12,24.2,71.5,0.8,0,134,"1,015.80",4.9
15,24/11/2020 19:00,88.3,48.7,34.54,33.08,85.1,"4,362.70",2.21,2.79,24.7,69.9,0.6,0,129,"1,015.10",5
16,24/11/2020 18:00,74.49,49.87,35.67,34.72,88.72,"4,567.20",1.43,2.28,27.4,68.9,0.7,0,162,"1,013.10",6.4
17,24/11/2020 17:00,80.74,50.78,33.55,31.91,82.31,"3,137.70",0.66,2.4,0,0,0,0,0,0,0
18,24/11/2020 16:00,94.14,49.53,33.89,31.45,81.92,"2,667.50",1.59,4.14,0,0,0,0,0,0,0
19,24/11/2020 15:00,89.27,48.49,36.83,37.78,94.56,"2,822.90",1.78,2.63,26.1,70.2,0.6,0,140,"1,015.20",156.9
20,24/11/2020 14:00,84.96,48.23,36.48,39.5,96.83,"2,751.40",0.77,3.27,27.6,63,0.5,0,129,"1,015.60",201
21,24/11/2020 13:00,83.39,49.75,32.76,32.13,81.86,"2,583.90",0.81,3.36,26.9,62.4,0.5,0,126,"1,015.90",276.3
22,24/11/2020 12:00,90.24,48.24,33.22,38.83,92.55,"2,597.30",1.63,2.67,26.8,62.5,0.5,0,126,"1,017.10",259
23,24/11/2020 11:00,84.48,42.55,40.34,54.2,130.23,"2,371.40",2.03,1.78,26.3,64.4,0.5,0,128,"1,018.00",248
24,24/11/2020 10:00,76.09,36.78,43.22,40.22,105.43,"2,192.30",1.34,2.46,25.7,66.5,0.6,0,110,"1,018.50",153
